dataset,model,sampler,ratio,num_nodes,num_edges,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
PubMed,mlp,random_hybrid,0.1000,1972.0000,4765.0000,0.8196,0.0114,0.8099,0.0126,0.8121,0.0102
PubMed,mlp,random_walk,0.1000,1972.0000,6750.6000,0.8247,0.0045,0.8137,0.0120,0.8126,0.0071
PubMed,mlp,random_jump,0.1000,1972.0000,6750.6000,0.8247,0.0045,0.8137,0.0120,0.8126,0.0071
PubMed,mlp,random_neigbour,0.1000,1972.0000,7438.0000,0.8060,0.0133,0.8015,0.0125,0.7943,0.0109
PubMed,mlp,forest_fire,0.1000,1972.0000,9965.6000,0.8008,0.0150,0.7896,0.0180,0.7898,0.0132
PubMed,mlp,random_node,0.0500,986.0000,208.4000,0.8072,0.0108,0.7978,0.0076,0.7981,0.0132
PubMed,mlp,random_degree,0.0500,986.0000,2206.6000,0.8039,0.0096,0.7970,0.0094,0.7924,0.0122
PubMed,mlp,random_pagerank,0.0500,986.0000,1371.0000,0.8003,0.0138,0.7932,0.0089,0.7901,0.0165
PubMed,mlp,random_edge,0.0500,986.0000,2310.2000,0.7928,0.0236,0.7831,0.0229,0.7842,0.0211
PubMed,mlp,random_node_edge,0.0500,986.0000,1519.8000,0.8038,0.0105,0.7954,0.0085,0.7972,0.0121
PubMed,mlp,random_hybrid,0.0500,986.0000,1745.6000,0.8045,0.0071,0.7981,0.0108,0.7959,0.0142
PubMed,mlp,random_walk,0.0500,986.0000,2741.8000,0.8003,0.0084,0.7934,0.0123,0.7895,0.0090
PubMed,mlp,random_jump,0.0500,986.0000,2741.8000,0.8003,0.0084,0.7934,0.0123,0.7895,0.0090
PubMed,mlp,random_neigbour,0.0500,986.0000,3057.6000,0.7954,0.0102,0.7902,0.0111,0.7880,0.0084
PubMed,mlp,forest_fire,0.0500,986.0000,4940.2000,0.7621,0.0225,0.7580,0.0271,0.7493,0.0263
PubMed,gcn,random_node,0.5000,9858.0000,22152.8000,0.8887,0.0107,0.8745,0.0109,0.8743,0.0103
PubMed,gcn,random_degree,0.5000,9858.0000,45675.6000,0.8770,0.0109,0.8632,0.0109,0.8629,0.0117
PubMed,gcn,random_pagerank,0.5000,9858.0000,42300.6000,0.8805,0.0104,0.8638,0.0148,0.8656,0.0084
PubMed,gcn,random_edge,0.5000,9858.0000,44917.0000,0.8815,0.0107,0.8640,0.0144,0.8639,0.0127
PubMed,gcn,random_node_edge,0.5000,9858.0000,36184.8000,0.8830,0.0097,0.8687,0.0142,0.8681,0.0080
PubMed,gcn,random_hybrid,0.5000,9858.0000,39108.0000,0.8803,0.0096,0.8644,0.0087,0.8650,0.0105
PubMed,gcn,random_walk,0.5000,9858.0000,42557.2000,0.8806,0.0103,0.8666,0.0123,0.8645,0.0115
PubMed,gcn,random_jump,0.5000,9858.0000,42557.2000,0.8834,0.0121,0.8685,0.0131,0.8648,0.0126
PubMed,gcn,random_neigbour,0.5000,9858.0000,42921.4000,0.8836,0.0116,0.8676,0.0148,0.8670,0.0114
PubMed,gcn,forest_fire,0.5000,9858.0000,45371.4000,0.8765,0.0089,0.8636,0.0135,0.8612,0.0091
PubMed,gcn,random_node,0.3000,5915.0000,7985.6000,0.8699,0.0110,0.8605,0.0130,0.8597,0.0116
PubMed,gcn,random_degree,0.3000,5915.0000,29892.0000,0.8645,0.0093,0.8526,0.0143,0.8522,0.0120
PubMed,gcn,random_pagerank,0.3000,5915.0000,24669.8000,0.8629,0.0079,0.8527,0.0111,0.8514,0.0081
PubMed,gcn,random_edge,0.3000,5915.0000,21070.2000,0.8676,0.0077,0.8577,0.0096,0.8554,0.0135
PubMed,gcn,random_node_edge,0.3000,5915.0000,19297.8000,0.8660,0.0106,0.8534,0.0135,0.8555,0.0111
PubMed,gcn,random_hybrid,0.3000,5915.0000,22243.2000,0.8618,0.0111,0.8493,0.0143,0.8522,0.0136
PubMed,gcn,random_walk,0.3000,5915.0000,26544.2000,0.8636,0.0109,0.8530,0.0160,0.8508,0.0098
PubMed,gcn,random_jump,0.3000,5915.0000,26544.2000,0.8646,0.0105,0.8559,0.0156,0.8527,0.0086
PubMed,gcn,random_neigbour,0.3000,5915.0000,27335.2000,0.8585,0.0117,0.8475,0.0171,0.8458,0.0117
PubMed,gcn,forest_fire,0.3000,5915.0000,30075.0000,0.8631,0.0088,0.8506,0.0153,0.8521,0.0098
PubMed,gcn,random_node,0.1000,1972.0000,873.6000,0.8231,0.0186,0.8177,0.0219,0.8159,0.0149
PubMed,gcn,random_degree,0.1000,1972.0000,7032.0000,0.8223,0.0160,0.8183,0.0185,0.8189,0.0177
PubMed,gcn,random_pagerank,0.1000,1972.0000,4635.0000,0.8285,0.0174,0.8241,0.0216,0.8227,0.0189
PubMed,gcn,random_edge,0.1000,1972.0000,6512.2000,0.8354,0.0142,0.8309,0.0136,0.8273,0.0180
PubMed,gcn,random_node_edge,0.1000,1972.0000,3999.4000,0.8376,0.0213,0.8258,0.0274,0.8303,0.0222
PubMed,gcn,random_hybrid,0.1000,1972.0000,4770.8000,0.8387,0.0131,0.8300,0.0158,0.8348,0.0129
PubMed,gcn,random_walk,0.1000,1972.0000,6880.2000,0.8158,0.0241,0.8083,0.0262,0.8103,0.0252
PubMed,gcn,random_jump,0.1000,1972.0000,6880.2000,0.8161,0.0252,0.8095,0.0273,0.8094,0.0249
PubMed,gcn,random_neigbour,0.1000,1972.0000,7511.0000,0.8179,0.0206,0.8089,0.0243,0.8106,0.0170
PubMed,gcn,forest_fire,0.1000,1972.0000,9640.2000,0.8121,0.0175,0.8074,0.0125,0.8030,0.0192
PubMed,gcn,random_node,0.0500,986.0000,217.2000,0.8099,0.0204,0.8037,0.0189,0.7997,0.0196
PubMed,gcn,random_degree,0.0500,986.0000,2172.2000,0.7865,0.0318,0.7822,0.0334,0.7822,0.0357
PubMed,gcn,random_pagerank,0.0500,986.0000,1358.0000,0.8129,0.0182,0.8069,0.0217,0.8066,0.0175
PubMed,gcn,random_edge,0.0500,986.0000,2330.6000,0.8097,0.0266,0.8084,0.0281,0.8030,0.0293
PubMed,gcn,random_node_edge,0.0500,986.0000,1532.4000,0.8133,0.0184,0.8051,0.0156,0.8070,0.0196
PubMed,gcn,random_hybrid,0.0500,986.0000,1737.0000,0.8060,0.0266,0.8015,0.0250,0.8022,0.0234
PubMed,gcn,random_walk,0.0500,986.0000,2799.4000,0.7915,0.0348,0.7856,0.0288,0.7890,0.0311
PubMed,gcn,random_jump,0.0500,986.0000,2799.4000,0.7953,0.0279,0.7890,0.0214,0.7925,0.0214
PubMed,gcn,random_neigbour,0.0500,986.0000,2971.2000,0.7804,0.0364,0.7730,0.0392,0.7757,0.0355
PubMed,gcn,forest_fire,0.0500,986.0000,4775.6000,0.6279,0.1909,0.6280,0.1989,0.6278,0.1908
PubMed,mlp,random_node,0.5000,11828.0000,32053.6000,0.8846,0.0211,0.8384,0.0085,0.8443,0.0104
PubMed,mlp,random_degree,0.5000,11828.0000,63905.2000,0.8778,0.0198,0.8357,0.0105,0.8385,0.0141
PubMed,mlp,random_pagerank,0.5000,11828.0000,58953.0000,0.8801,0.0166,0.8376,0.0113,0.8411,0.0119
PubMed,mlp,random_edge,0.5000,11828.0000,55564.2000,0.8749,0.0177,0.8350,0.0117,0.8361,0.0102
PubMed,mlp,random_node_edge,0.5000,11828.0000,51403.0000,0.8778,0.0223,0.8386,0.0149,0.8400,0.0107
PubMed,mlp,random_hybrid,0.5000,11828.0000,55331.0000,0.8774,0.0154,0.8396,0.0092,0.8391,0.0109
PubMed,mlp,random_walk,0.5000,11828.0000,59320.0000,0.8763,0.0169,0.8380,0.0091,0.8381,0.0138
PubMed,mlp,random_jump,0.5000,11828.0000,59320.0000,0.8763,0.0169,0.8380,0.0091,0.8381,0.0138
PubMed,mlp,random_neigbour,0.5000,11828.0000,60498.0000,0.8819,0.0134,0.8384,0.0086,0.8400,0.0104
PubMed,mlp,forest_fire,0.5000,11828.0000,61769.2000,0.8765,0.0222,0.8352,0.0109,0.8390,0.0135
PubMed,mlp,random_node,0.3000,8674.0000,17318.2000,0.8868,0.0407,0.8261,0.0144,0.8259,0.0085
PubMed,mlp,random_degree,0.3000,8674.0000,44461.8000,0.8793,0.0227,0.8244,0.0138,0.8215,0.0115
PubMed,mlp,random_pagerank,0.3000,8674.0000,37737.8000,0.8797,0.0225,0.8247,0.0109,0.8246,0.0149
PubMed,mlp,random_edge,0.3000,8674.0000,43453.0000,0.8850,0.0196,0.8271,0.0146,0.8291,0.0114
PubMed,mlp,random_node_edge,0.3000,8674.0000,31985.4000,0.8757,0.0180,0.8232,0.0116,0.8267,0.0127
PubMed,mlp,random_hybrid,0.3000,8674.0000,35189.4000,0.8687,0.0191,0.8231,0.0130,0.8234,0.0137
PubMed,mlp,random_walk,0.3000,8674.0000,39296.2000,0.8898,0.0385,0.8305,0.0146,0.8309,0.0104
PubMed,mlp,random_jump,0.3000,8674.0000,39296.2000,0.8898,0.0385,0.8305,0.0146,0.8309,0.0104
PubMed,mlp,random_neigbour,0.3000,8674.0000,41162.8000,0.8818,0.0153,0.8234,0.0124,0.8237,0.0147
PubMed,mlp,forest_fire,0.3000,8674.0000,43508.4000,0.8731,0.0125,0.8161,0.0123,0.8168,0.0126
PubMed,mlp,random_node,0.1000,5519.0000,7008.8000,0.9233,0.0213,0.8043,0.0093,0.8070,0.0138
PubMed,mlp,random_degree,0.1000,5519.0000,16594.6000,0.8993,0.0210,0.7939,0.0108,0.7863,0.0188
PubMed,mlp,random_pagerank,0.1000,5519.0000,13583.0000,0.9000,0.0226,0.7981,0.0142,0.7952,0.0154
PubMed,mlp,random_edge,0.1000,5519.0000,15549.6000,0.9113,0.0155,0.7950,0.0114,0.7896,0.0143
PubMed,mlp,random_node_edge,0.1000,5519.0000,12418.0000,0.9123,0.0122,0.8014,0.0081,0.8002,0.0092
PubMed,mlp,random_hybrid,0.1000,5519.0000,13442.6000,0.9078,0.0165,0.7949,0.0084,0.7969,0.0138
PubMed,mlp,random_walk,0.1000,5519.0000,15142.0000,0.9109,0.0195,0.7966,0.0068,0.7919,0.0108
PubMed,mlp,random_jump,0.1000,5519.0000,15142.0000,0.9109,0.0195,0.7966,0.0068,0.7919,0.0108
PubMed,mlp,random_neigbour,0.1000,5519.0000,16141.0000,0.9079,0.0158,0.7918,0.0087,0.7898,0.0131
PubMed,mlp,forest_fire,0.1000,5519.0000,18488.8000,0.9100,0.0324,0.7606,0.0350,0.7594,0.0327
PubMed,mlp,random_node,0.0500,4731.0000,5123.0000,0.9619,0.0116,0.7823,0.0106,0.7803,0.0166
PubMed,mlp,random_degree,0.0500,4731.0000,9544.6000,0.9482,0.0153,0.7741,0.0182,0.7726,0.0220
PubMed,mlp,random_pagerank,0.0500,4731.0000,8269.0000,0.9468,0.0123,0.7837,0.0142,0.7820,0.0195
PubMed,mlp,random_edge,0.0500,4731.0000,9312.2000,0.9474,0.0192,0.7745,0.0123,0.7770,0.0151
PubMed,mlp,random_node_edge,0.0500,4731.0000,7870.8000,0.9381,0.0331,0.7726,0.0149,0.7721,0.0140
PubMed,mlp,random_hybrid,0.0500,4731.0000,8383.8000,0.9503,0.0147,0.7778,0.0139,0.7791,0.0189
PubMed,mlp,random_walk,0.0500,4731.0000,9150.0000,0.9325,0.0350,0.7622,0.0172,0.7631,0.0244
PubMed,mlp,random_jump,0.0500,4731.0000,9150.0000,0.9325,0.0350,0.7622,0.0172,0.7631,0.0244
PubMed,mlp,random_neigbour,0.0500,4731.0000,9767.0000,0.9509,0.0185,0.7627,0.0180,0.7594,0.0150
PubMed,mlp,forest_fire,0.0500,4731.0000,11417.8000,0.9165,0.0438,0.6683,0.0603,0.6630,0.0567
PubMed,gcn,random_node,0.5000,11828.0000,32028.6000,0.8993,0.0118,0.8575,0.0095,0.8596,0.0098
PubMed,gcn,random_degree,0.5000,11828.0000,63890.0000,0.8937,0.0122,0.8561,0.0132,0.8535,0.0101
PubMed,gcn,random_pagerank,0.5000,11828.0000,58935.6000,0.8915,0.0175,0.8582,0.0179,0.8566,0.0111
PubMed,gcn,random_edge,0.5000,11828.0000,55009.6000,0.8927,0.0154,0.8530,0.0117,0.8529,0.0093
PubMed,gcn,random_node_edge,0.5000,11828.0000,51390.4000,0.8968,0.0177,0.8596,0.0159,0.8582,0.0126
PubMed,gcn,random_hybrid,0.5000,11828.0000,55418.8000,0.8917,0.0145,0.8569,0.0101,0.8577,0.0127
PubMed,gcn,random_walk,0.5000,11828.0000,59573.6000,0.8980,0.0162,0.8579,0.0133,0.8577,0.0125
PubMed,gcn,random_jump,0.5000,11828.0000,59573.6000,0.8887,0.0171,0.8515,0.0143,0.8515,0.0116
PubMed,gcn,random_neigbour,0.5000,11828.0000,60519.8000,0.8885,0.0128,0.8547,0.0123,0.8534,0.0092
PubMed,gcn,forest_fire,0.5000,11828.0000,62129.2000,0.8866,0.0131,0.8493,0.0128,0.8447,0.0101
PubMed,gcn,random_node,0.3000,8674.0000,17337.4000,0.8852,0.0197,0.8385,0.0163,0.8384,0.0124
PubMed,gcn,random_degree,0.3000,8674.0000,44344.2000,0.8863,0.0165,0.8371,0.0183,0.8353,0.0126
PubMed,gcn,random_pagerank,0.3000,8674.0000,37688.6000,0.8835,0.0140,0.8339,0.0153,0.8346,0.0115
PubMed,gcn,random_edge,0.3000,8674.0000,43567.0000,0.8917,0.0164,0.8401,0.0121,0.8346,0.0144
PubMed,gcn,random_node_edge,0.3000,8674.0000,31968.0000,0.8880,0.0199,0.8349,0.0147,0.8386,0.0123
PubMed,gcn,random_hybrid,0.3000,8674.0000,35425.8000,0.8878,0.0156,0.8353,0.0174,0.8370,0.0138
PubMed,gcn,random_walk,0.3000,8674.0000,39675.0000,0.8851,0.0137,0.8304,0.0129,0.8313,0.0103
PubMed,gcn,random_jump,0.3000,8674.0000,39675.0000,0.8869,0.0160,0.8306,0.0138,0.8321,0.0109
PubMed,gcn,random_neigbour,0.3000,8674.0000,41061.0000,0.8858,0.0179,0.8295,0.0170,0.8303,0.0127
PubMed,gcn,forest_fire,0.3000,8674.0000,43505.0000,0.8850,0.0207,0.8278,0.0176,0.8225,0.0176
PubMed,gcn,random_node,0.1000,5519.0000,7054.2000,0.8933,0.0430,0.7945,0.0243,0.7957,0.0180
PubMed,gcn,random_degree,0.1000,5519.0000,16545.8000,0.8721,0.0234,0.7761,0.0154,0.7735,0.0168
PubMed,gcn,random_pagerank,0.1000,5519.0000,13626.0000,0.8439,0.0493,0.7628,0.0395,0.7614,0.0380
PubMed,gcn,random_edge,0.1000,5519.0000,15550.8000,0.8545,0.0614,0.7610,0.0549,0.7542,0.0553
PubMed,gcn,random_node_edge,0.1000,5519.0000,12388.2000,0.8302,0.0831,0.7501,0.0714,0.7480,0.0686
PubMed,gcn,random_hybrid,0.1000,5519.0000,13372.6000,0.8682,0.0500,0.7723,0.0342,0.7706,0.0355
PubMed,gcn,random_walk,0.1000,5519.0000,15493.8000,0.8471,0.0603,0.7567,0.0533,0.7567,0.0506
PubMed,gcn,random_jump,0.1000,5519.0000,15493.8000,0.8744,0.0314,0.7774,0.0187,0.7762,0.0163
PubMed,gcn,random_neigbour,0.1000,5519.0000,16232.4000,0.8345,0.0692,0.7455,0.0612,0.7453,0.0619
PubMed,gcn,forest_fire,0.1000,5519.0000,17922.6000,0.8438,0.0378,0.7229,0.0404,0.7255,0.0416
PubMed,gcn,random_node,0.0500,4731.0000,5179.0000,0.8316,0.0959,0.7223,0.0795,0.7208,0.0745
PubMed,gcn,random_degree,0.0500,4731.0000,9512.4000,0.8221,0.0756,0.7065,0.0765,0.7032,0.0783
PubMed,gcn,random_pagerank,0.0500,4731.0000,8207.8000,0.7630,0.1194,0.6621,0.1023,0.6635,0.0972
PubMed,gcn,random_edge,0.0500,4731.0000,9477.2000,0.7671,0.1203,0.6622,0.0924,0.6599,0.0956
PubMed,gcn,random_node_edge,0.0500,4731.0000,7905.0000,0.7470,0.1933,0.6497,0.1516,0.6485,0.1524
PubMed,gcn,random_hybrid,0.0500,4731.0000,8319.6000,0.7970,0.0831,0.6999,0.0785,0.6941,0.0775
PubMed,gcn,random_walk,0.0500,4731.0000,9400.2000,0.7125,0.1795,0.6104,0.1550,0.6104,0.1536
PubMed,gcn,random_jump,0.0500,4731.0000,9400.2000,0.7070,0.1746,0.6037,0.1505,0.6065,0.1513
PubMed,gcn,random_neigbour,0.0500,4731.0000,9555.4000,0.6963,0.1776,0.5975,0.1467,0.6026,0.1424
PubMed,gcn,forest_fire,0.0500,4731.0000,11319.2000,0.7694,0.1056,0.5339,0.1388,0.5384,0.1369
